Document_Number,Subject,Status,Category,Topics,Title,Content,Measure,Year,ATCM,Feature,City
808,Urgent measures to be taken with respect to certain tourist and non-governmental activities,Adopted 08/06/2023,Tourism and Non-Governmental Activities,Tourism and Non-Governmental Activities,"Resolution 4 (2023) - ATCM XLV - CEP XXV, Helsinki","Urgent measures to be taken with respect to certain tourist and non-governmental activitiesThe Representatives,Concerned about the continuing and substantial increase in the numbers of tourists and diversification of tourism and other non-governmental activities in Antarctica;Acknowledging that the concerns associated with the growth, diversification, monitoring, compliance and governance in relation to Antarctic tourism and other non-governmental activities in Antarctica prompt the Antarctic Treaty Consultative Meeting (“ATCM”) to take urgent action;Acknowledging the desire for National Competent Authorities (“NCA”) to improve harmonisation of assessment and standards, and to address issues arising from new activities or those seldom conducted, and potentially risky activities, as expressed in the NCAs discussion forum and reported in IP 91 (2023);Recalling Resolution 2 (2022), which adopted and updated lists of sites subject to Site Guidelines for Visitors (“Site Guidelines”);Recalling Measure 15 (2009) and the “General Principles of Antarctic Tourism” adopted by Resolution 7 (2009);Recalling also Resolution 2 (2004) “Guidelines for the Operation of Aircraft near concentrations of birds in Antarctica”;Recommend that their Governments:1. recommend operators organising or conducting tourist or other non-governmental activities in the Antarctic Treaty area, for which advance notification is required in accordance with Article VII(5) of the Antarctic Treaty, to discontinue except in case of emergencies and for the purpose of enhancing human safety:a. any off-ship activities in Antarctica from vessels carrying more than 500 passengers to clarify the purpose of Measure 15 (2009);b. the use of helicopters for recreational purposes in areas with concentrations of wildlife; and2. engage in further discussions on these and other specific actions in the context of future discussions regarding tourism.",Resolution 4,2023,ATCM XLV,CEP XXV,Helsinki
807,"Reaffirming ongoing commitment to the prohibition on Antarctic mineral resource activities, other than for scientific research",Adopted 08/06/2023,Mineral resources,Mineral resources,"Resolution 3 (2023) - ATCM XLV - CEP XXV, Helsinki","Reaffirming ongoing commitment to the prohibition on Antarctic mineral resource activities, other than for scientific researchThe Representatives,Recognising that the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”), which has been in force for more than two decades, is an essential element of current efforts to protect the Antarctic environment;Noting that Article 7 of the Protocol prohibits any activity relating to mineral resources, other than scientific research, in the Antarctic Treaty area;Taking into account that, outside the Antarctic Treaty system, many hold the mistaken belief that the Protocol expires in 2048;Recalling that the Protocol contains no expiration date and that Article 25 relates solely to the possibility of a review conference at the request of any Antarctic Treaty Consultative Party after the Protocol has been in force for 50 years;Recommend that their Governments:1. commit to dispelling the myth that the Antarctic Treaty or the Protocol expire, either in 2048 or at any other time;2. acknowledge the benefits to the Antarctic environment and dependent and associated ecosystems that have resulted from the prohibition on activities relating to mineral resources, other than scientific research, under Article 7 of the Protocol;3. reaffirm their commitment to Article 7 of the Protocol; and4. declare their firm commitment to continue to implement this prohibition as a matter of highest priority to achieve the comprehensive protection of the Antarctic environment and dependent and associated ecosystems.",Resolution 3,2023,ATCM XLV,CEP XXV,Helsinki
806,Helsinki Declaration on Climate Change and the Antarctic,Adopted 08/06/2023,Environmental protection,Environmental protection,"Resolution 2 (2023) - ATCM XLV - CEP XXV, Helsinki","Helsinki Declaration on Climate Change and the AntarcticWe, the Consultative Parties of the Antarctic Treaty and the Members of the Committee on Environmental Protection (CEP) having met at the 45th Antarctic Treaty Consultative Meeting (ATCM) and the 25th Meeting of the Committee for Environmental Protection in Helsinki, Finland from 29 May to 8 June 2023;Reaffirming our firm commitment to combat the adverse impacts of climate change in Antarctica;Recognising the critical role of Antarctica and the Southern Ocean in the global climate system, and the implications of Antarctic cryospheric and oceanographic changes for global climate and sea-level rise;Further recognising that observations, modelling and global assessments describe significant changes in Antarctic physical and living systems, both marine and terrestrial, and that changes in Antarctic and Southern Ocean environments are linked to, and influence, climate impact drivers globally;Deeply concerned that further irreversible change is likely to occur without accelerated efforts to reduce greenhouse gas emissions in line with a trajectory consistent with holding the global temperature increase to well below 2 degrees Celsius above preindustrial levels and pursuing efforts to limit warming to 1.5 degrees Celsius;Acknowledging that by further delaying concerted global action on climate change mitigation and adaptation, we risk missing the window of opportunity to secure a liveable and sustainable future for all;Underscoring the need to improve the scientific understanding of climate change in Antarctica and the implications globally, as well as for the Antarctic environment, and the need for adaptive management and conservation;Highlighting the continuing work of the ATCM and CEP on climate change response, including, for example, through the Climate Change Response Work Program (CCRWP) Resolution 4 (2015), and Resolution 8 (2021);Acknowledging the important contribution of the Subsidiary Group on Climate Change Response to the implementation and follow-up of the CCRWP adopted by the CEP;Highlighting that in 2022, the ATCM welcomed the report of the Scientific Committee on Antarctic Research (SCAR) on Antarctic Climate Change and the Environment: A Decadal Synopsis and Recommendations for Action (ACCE), and adopted Resolution 4 (2022) and Decision 4 (2022) on the subject, including welcoming SCAR’s advice that urgent action is required to prevent irreversible changes to the Antarctic environment and consequential implications for the planet;Recognising the objectives and principles of the UNFCCC and the on-going work to tackle climate change by strengthening the full and effective implementation of the Paris Agreement, adopted under the UNFCCC;Recalling the ATCM Paris Declaration in 2021 and reaffirming their commitment to better understand changes to the Antarctic climate and to implement actions with a view to limiting the adverse impacts of climate change on the Antarctic environment and dependent and associated ecosystems, protecting ecosystems and improving Antarctica’s resilience to climate change;Acknowledging that scientific evidence clearly shows that with the current trajectory of CO₂ emissions, the atmosphere and oceans will continue to warm and the oceans to acidify, atmospheric and ocean circulation patterns will continue to alter and the cryosphere will continue to lose ice in all forms, and sea levels will continue to rise;Deeply concerned that multiple meters of sea level rise resulting from ice-sheet loss that is irreversible for centuries to millennia would have devastating to catastrophic impacts, particularly on millions of people living in low elevation coastal zones;Taking into consideration the best available expertise and scientific findings on climate change and including the IPCC’s AR6 Synthesis Report: Climate Change 2023, published on 20 March 2023;Aware of the tools that the Parties to the Antarctic Treaty have at their disposal for action, such as research, monitoring, management, environmental protection, advocacy and communication, in accordance with best available science;Hereby:1. Commit to substantially increasing our efforts to communicate the global implications of climate change in Antarctica within our own countries and in international forums, and the need to prevent the irreversible changes to Antarctica and consequential implications for the planet;2. Reaffirm the importance of the ongoing work of the Committee on Environmental Protection to support efforts within the Antarctic Treaty system to mitigate, prepare for, and build resilience to, the environmental impacts of a changing climate, and commit as a matter of priority to continue the implementation and regular review of the Climate Change Response Work Programme;3. Give strong support to the 5th International Polar Year (IPY) 2032-33 by championing its objectives, and seek to provide sufficient means to support the scientific endeavours of those planning IPY projects and logistics, and encourage SCAR and COMNAP, together with its IPY partners, to use the occasion to take a further step forward to understand the impacts of climate and environmental change on the Antarctic environment and dependent and associated ecosystems, as well as the global implications of these changes;4. Encourage all Antarctic operators, including national Antarctic programs, tourist and non-governmental operators to continue to reduce their carbon footprints and investigate pathways and move towards carbon neutral (‘net zero’) operations, as well as to reduce their impacts on the Antarctic environment and its associated and dependent ecosystems and to continue deliberations on possible policy recommendations to this end;5. Intensify working together, including with SCAR and COMNAP, to plan and implement large scale internationally coordinated field-based research and information exchange efforts to make leaps in knowledge with respect to understanding the impact of global climate change on Antarctica, as well as the global role of Antarctica and the Southern Ocean in regulating global climate and future sea-level rise, under a range of future global temperature rise scenarios;6. Invite SCAR to continue to provide annual updates to its ACCE report and reconfirm our commitment to take account of the best scientific and technical advice available in taking appropriate measures to deliver our commitments made in the Protocol on Environmental Protection for the comprehensive protection of the Antarctic environment and dependent and associated ecosystems;7. Reaffirm efforts to increase knowledge on the Antarctic environment and dependent and associated ecosystems, including better assessment of the risk of invasions by non-native species, to effectively inform the decision-making process;8. Aim to assess the risks of climate change to Antarctic Infrastructures and Historic Sites and Monuments and include mitigation, adaptation and management measures in Conservation Management Plans for Antarctic Historic Sites and Monuments, as appropriate;9. Work towards developing a systematically coordinated Antarctic climate and environment observation and monitoring network with an optimal spatial distribution, comparability and/or complementarity between observations where input can be used in key global observation and modelling systems and processes;10. Commit to strengthen and implement all management tools under the Environment Protocol, including inter alia area protection and management, in light of the effects and projected changes to Antarctic environments resulting from climate change, to provide enhanced protection of the Antarctic environment and dependent and associated ecosystems; and11. Reaffirm our commitment to Article 7 of the Protocol on Environmental Protection to the Antarctic Treaty, and stress that Antarctic mineral resource activities other than scientific research, including the extraction of fossil fuels, remains prohibited, in accordance with the Protocol on Environmental Protection to the Antarctic Treaty, which does not have an expiry date.",Resolution 2,2023,ATCM XLV,CEP XXV,Helsinki
805,Consideration of Mitigation Measures in Environmental Impact Assessment,Adopted 08/06/2023,Environmental impact assessment,Environmental impact assessment,"Resolution 1 (2023) - ATCM XLV - CEP XXV, Helsinki","Consideration of Mitigation Measures in Environmental Impact AssessmentThe Representatives,Recalling the Environmental Principles contained in Article 3 of the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”), and specifically paragraph 2(c) of Article 3 which states that ‘activities in the Antarctic Treaty area shall be planned and conducted on the basis of information sufficient to allow prior assessments of, and informed judgments about, their possible impacts on the Antarctic environment and dependent and associated ecosystems and on the value of Antarctica for the conduct of scientific research’;Recalling also the requirements under Article 8 of the Protocol and its Annex I regarding environmental impact assessment for proposed activities in the Antarctic Treaty area;Recalling that under Article 8 of the Protocol that proposed activities shall be subject to the procedures set out in Annex I for prior assessment of the impact of those activities on the Antarctic environment or on dependent or associated ecosystems according to whether those activities are identified as having a less than a minor or transitory impact; a minor or transitory impact; or more than a minor or transitory impact;Recalling specifically paragraph 2(g) of Article 3 of Annex I to the Protocol, which requires a Comprehensive Environmental Evaluation to include ‘identification of measures, including monitoring programmes, that could be taken to minimise or mitigate impacts of the proposed activity and to detect unforeseen impacts and that could provide early warning of any adverse effects of the activity as well as to deal promptly and effectively with accidents’;Recognising that Article 1 of Annex I states that Parties shall consider, in accordance with appropriate national procedures, environmental impacts of proposed activities before their commencement;Recognising that Parties are also encouraged to apply the appropriate level of environmental impact assessment commensurate with the level of environmental impact;Noting that under Resolution 1 (1999) the Antarctic Treaty Consultative Meeting (“ATCM”) adopted Guidelines for Environmental Impact Assessment in Antarctica;Noting also that under Resolution 1 (2016) the ATCM adopted revised Guidelines for Environmental Impact Assessment in Antarctica (“the Guidelines”); andDesiring to ensure that, consistent with the Guidelines, all environmental impact assessment for proposed activities in Antarctica include mitigation measures, commensurate with the nature of the activity and the level of environmental impact;Recommend that their Governments encourage that Initial Environmental Evaluation and, where appropriate and practical, Preliminary Stage levels of environmental impact assessment include identification of measures, commensurate with the nature of activity and the level of environmental impact, to minimise or mitigate the impacts of the proposed activity.",Resolution 1,2023,ATCM XLV,CEP XXV,Helsinki
804,Dedicated process for the development of a comprehensive and consistent framework for Antarctic tourism and other non-governmental activities,Adopted 08/06/2023,Tourism and Non-Governmental Activities,Tourism and Non-Governmental Activities,"Decision 6 (2023) - ATCM XLV - CEP XXV, Helsinki","Dedicated process for the development of a comprehensive and consistent framework for Antarctic tourism and other non-governmental activitiesThe Representatives,Noting that in Article 2 of the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”), the Parties committed themselves to the comprehensive protection of the Antarctic environment and dependent and associated ecosystems and designated Antarctica as a natural reserve, devoted to peace and science;Acknowledging that the concerns arising from, inter alia, the growth, diversification and compliance in relation to Antarctic tourism and other non-governmental activities in Antarctica require the Antarctic Treaty Consultative Meeting (“ATCM”) with urgency to take responsibility and strengthen international governance action;Decide:1. to start a dedicated process to develop a comprehensive and consistent framework for the regulation of tourism and other non-governmental activities in Antarctica;2. that the Special Working Group on the Development of a Tourism Framework established pursuant to Rule 11 of the Rules of Procedure of the Antarctic Treaty Consultative Meeting (2016) in Agenda Item 18 of the ATCM XLV Final Report will have its first meeting of two days during ATCM 46; and3. to invite all Consultative Parties to develop proposals prior to the convening of that first meeting, to be exchanged through the normal means of diplomatic communication and other means, such as the ATCM Forum, in order to ensure due preparation of discussions. Parties may decide to organise one or several informal and voluntary virtual or hybrid workshop(s) to support their preparation for the first meeting.",Decision 6,2023,ATCM XLV,CEP XXV,Helsinki
803,Multi-year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,Adopted 08/06/2023,Institutional & legal matters,Institutional & legal matters,"Decision 5 (2023) - ATCM XLV - CEP XXV, Helsinki","Multi-year Strategic Work Plan for the Antarctic Treaty Consultative MeetingThe Representatives,Reaffirming the values, objectives and principles contained in the Antarctic Treaty and its Protocol on Environmental Protection;Recalling Decision 3 (2012) on the Multi-year Strategic Work Plan (“the Plan”) and its principles;Bearing in mind that the Plan is complementary to the agenda of the Antarctic Treaty Consultative Meeting (“ATCM”) and that the Parties and other ATCM participants are encouraged to contribute as usual to other matters on the ATCM agenda;Decide:1. to adopt the Plan annexed to this Decision; and2. that the Plan annexed to Decision 3 (2022) is no longer current.",Decision 5,2023,ATCM XLV,CEP XXV,Helsinki
802,Updated requirements for information exchange,Adopted 08/06/2023,Information exchange,Information exchange,"Decision 4 (2023) - ATCM XLV - CEP XXV, Helsinki","Updated requirements for information exchangeThe Representatives,Noting Articles III(1)(a) and VII(5) of the Antarctic Treaty;Conscious of the obligations within the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”) and its Annexes to exchange information;Conscious also of decisions of the Antarctic Treaty Consultative Meeting (“ATCM”) in relation to the information to be exchanged by Parties;Desiring that the exchange of information by Parties be conducted in the most efficient and timely manner;Desiring also that the information to be exchanged by Parties be readily identified to maximise its utility;Recalling Decision 4 (2012), which decided that the Parties would use the Electronic Information Exchange System (“EIES”) to exchange information in accordance with the Antarctic Treaty and the Protocol and its Annexes and which specified that Parties would continue to work with the Secretariat of the Antarctic Treaty (“the Secretariat”) to refine and improve the EIES;Noting that Decision 4 (2012) decided that the Parties would update relevant sections of the EIES regularly throughout the year, in order that such information be made available and accessible to Parties as soon as practicable;Desiring to make changes to the consolidated list attached to this Decision, on sections 2.1.1. Forward Plans and 2.1.2. Science Activities in Previous Year (category Annual Report), and to add a new section 3.5 Cooperation Agreements (category Permanent Information);Decide:1. that the Annex to this Decision represents a consolidated list of the information to be exchanged by Parties;2. that the Secretariat shall modify the EIES to reflect the information contained in the Annex to this Decision; and3. that the Annex to Decision 5 (2022) is no longer current.",Decision 4,2023,ATCM XLV,CEP XXV,Helsinki
801,Renewal of the contract of the Secretariat's external auditor,Adopted 08/06/2023,Institutional & legal matters,Institutional & legal matters,"Decision 3 (2023) - ATCM XLV - CEP XXV, Helsinki","Renewal of the contract of the Secretariat's external auditorThe Representatives,Recalling the Financial Regulations for the Secretariat of the Antarctic Treaty annexed to Decision 4 (2003), and specifically Regulation 11 (External Audit);Conscious that the Secretariat of the Antarctic Treaty (“the Secretariat”) conducts the majority of its financial transactions in Argentina, and that the detailed rules of book-keeping and accounting are country-specific;Noting Argentina’s proposal to designate the Sindicatura General de la Nación (“SIGEN”) as the external auditor of the Secretariat;Decide:1. to designate the Sindicatura General de la Nación as the external auditor of the Secretariat for Financial Years 2021/22 to 2024/25, in accordance with Regulation 11.1 of the Financial Regulations for the Secretariat of the Antarctic Treaty; and2. to authorise the Executive Secretary to negotiate a contract with the Sindicatura General de la Nación to carry out annual external audits for the above-mentioned years in accordance with Regulation 11.3, the Annex to this Decision (which lists the tasks to be carried out) and the budgetary limits set by the Antarctic Treaty Consultative Meeting.",Decision 3,2023,ATCM XLV,CEP XXV,Helsinki
800,"Secretariat Report, Programme and Budget",Adopted 08/06/2023,Institutional & legal matters,Institutional & legal matters,"Decision 2 (2023) - ATCM XLV - CEP XXV, Helsinki","Secretariat Report, Programme and BudgetThe Representatives,Recalling Measure 1 (2003) on the establishment of the Secretariat of the Antarctic Treaty (“the Secretariat”);Bearing in mind the Financial Regulations for the Secretariat of the Antarctic Treaty annexed to Decision 4 (2003) and amended by Decision 6 (2005);Recalling Decision 4 (2009) concerning, amongst other matters, the Translation Contingency Fund;Noting increased translation expenses;Decide:1. to approve the audited Financial Report for 2021/22 annexed to this Decision (Annex 1);2. to take note of the Secretariat Report 2022/23, which includes the Provisional Financial Report for 2022/23, annexed to this Decision (Annex 2);3. to take note of the Five Year Forward Budget Profile 2024/25-2028/29 and approve the Secretariat Programme 2023/24, including the Budget for 2023/24 and the Forecast Budget 2024/25, annexed to this Decision (Annex 3);4. to increase the level of the Translation Contingency Fund to $50,000; and5. to request that the Executive Secretary of the Secretariat open at the Antarctic Treaty Consultative Meeting Forum a topic to report to the Consultative Parties on financial issues.",Decision 2,2023,ATCM XLV,CEP XXV,Helsinki
799,Revised Rules of Procedure for the Committee for Environmental Protection (2023),Adopted 08/06/2023,Institutional & legal matters,Institutional & legal matters,"Decision 1 (2023) - ATCM XLV - CEP XXV, Helsinki","Revised Rules of Procedure for the Committee for Environmental Protection (2023)The Representatives,Recalling Decision 2 (2011) which adopted Revised Rules of Procedure for the Committee for Environmental Protection (“the Revised Rules”);Recalling that Rule 15 of the Revised Rules provides that the Committee for Environmental Protection (“CEP”) shall elect a Chair and two Vice-chairs from among the Consultative Parties;Desiring to update the Revised Rules to include procedures for nominating and electing the Chair and Vice-chairs, and to clarify the serving terms for these positions;Decide that the Revised Rules of Procedure for the Committee for Environmental Protection (2023) annexed to this Decision shall replace the Revised Rules of Procedure for the Committee for Environmental Protection (2011) annexed to Decision 2 (2011).",Decision 1,2023,ATCM XLV,CEP XXV,Helsinki
